TwitterIDsOfHumanUsers,#Friends,#BotFollowees
565292271,381,151
2855099577,340,129
122721332,361,122
2361870980,349,110
2675983039,317,108
376821900,383,100
2321395147,221,97
197602470,334,93
2476208768,319,90
2752242934,356,86
2856856405,340,83
2444804780,240,82
53102055,295,78
147528665,342,75
2362930014,333,72
53375745,390,71
3134399143,221,71
2642655806,169,67
605838742,334,66
125088832,366,65
238588883,353,64
2244762307,269,62
3008527726,312,61
599736873,364,61
389652102,327,61
30638954,365,59
263920631,242,59
345318456,270,59
1326731076,276,59
2840542213,345,59
557842655,234,59
770351910,343,58
2577843735,133,58
86125841,372,54
971643848,242,54
409118790,275,54
45110939,301,53
50797260,143,53
315458934,297,52
271458239,296,52
1135530474,265,51
2532135561,325,51
3599869394,131,51
2275266018,172,51
2385910022,175,50
25507308,275,50
3163287565,362,50
4264220174,317,50
603243453,357,49
45434489,234,49
2942417632,216,49
1395374546,380,47
250019502,365,47
183638275,276,47
913455692,166,47
924714103,96,47
563452765,257,47
486966473,395,47
705736374,173,47
256051523,297,46
400300086,331,46
85850428,260,46
2846410981,353,46
610896066,316,46
317336535,263,46
2499922645,258,45
153439655,369,45
2783924411,338,45
121080165,221,44
39661642,345,44
259139318,361,44
974434579,278,44
181191549,313,44
709681854,306,44
2379422593,349,44
32988810,226,43
636107261,368,43
589910604,274,43
571938412,320,43
535537105,279,43
229298733,381,43
2419662654,199,43
290494853,345,42
1090138922,382,42
341146276,234,42
421847529,361,42
2462247966,270,42
365665311,327,41
402955893,232,41
591104103,342,41
151855545,73,41
459680754,306,41
2899116833,268,40
48357793,192,40
463045937,95,40
36897295,218,40
434591482,266,40
3342780699,313,40
418641071,355,39
1669774705,268,39
36174874,191,39
457808323,336,39
362075658,303,39
1442637312,151,39
85058609,143,38
839690880,361,38
2805340929,371,38
244808030,312,38
245970658,379,38
1037384052,299,38
3418250561,318,38
993583230,245,38
1911524743,254,38
4041856334,211,38
522559673,312,38
2763354004,293,37
476264444,377,37
14516139,293,37
418140622,250,37
42752719,348,37
1136566969,234,37
707526853,271,37
2790601415,156,37
465431316,242,37
20455924,262,36
987656269,258,36
2906440417,176,36
381666513,204,36
357897494,270,36
2527442282,193,36
52053744,303,36
406165467,363,36
477087533,194,36
2243809497,246,35
217615594,277,35
143448270,382,35
365993895,300,35
608022298,275,35
56336047,385,35
3154437062,194,35
383292062,372,35
546533556,205,35
478994018,258,34
6134312,192,34
603047832,263,34
118386377,306,34
22508731,333,34
1099915572,328,34
425908255,293,34
20219315,266,34
52220699,330,34
3013763124,246,34
480715104,277,34
600867440,267,33
439875805,329,33
61452320,192,33
365440652,389,33
33516491,347,33
3031785331,139,33
329103684,233,33
301747825,389,33
1064278820,179,33
342527071,350,33
1387377110,262,33
2277340458,373,33
103954508,242,33
270472440,251,33
927653365,316,33
43897661,360,33
2792443824,365,33
393980520,349,33
401575582,259,33
364275391,370,33
862068776,361,32
553617306,230,32
725675244,346,32
180912768,384,32
2273637470,304,32
14492555,133,32
2444483352,349,32
1223669587,313,32
164928789,382,32
612129754,311,32
291594394,288,32
396625283,326,32
321281383,228,32
1130868744,280,31
1010619756,350,31
58789772,365,31
574488060,252,31
2558169572,321,31
296178601,144,31
989639142,331,31
383825758,344,31
1866103464,127,31
944670684,316,31
479815906,202,31
290925883,304,31
